geometry_wkt,addr:street,highway
POINT (-97.603136 27.8506258),,turning_circle
POINT (-97.416958 27.7418227),,turning_circle
POINT (-97.5990358 27.8373982),,turning_circle
POINT (-97.4147196 27.6589606),,turning_circle
POINT (-97.3995863 27.7017941),,turning_circle
POINT (-97.3660747 27.6829933),,turning_circle
POINT (-97.391235 27.7065056),,turning_circle
POINT (-97.4392509 27.7556949),,turning_circle
POINT (-97.4098517 27.6966949),,turning_circle
POINT (-97.4135268 27.7877974),,traffic_signals
POINT (-97.4135031 27.7869012),,traffic_signals
POINT (-97.4125816 27.776745),,traffic_signals
POINT (-97.4119704 27.7757604),,traffic_signals
POINT (-97.3970371 27.6954182),,turning_circle
POINT (-97.6260925 27.8675851),,turning_circle
POINT (-97.4338304 27.7197925),,turning_circle
POINT (-97.3343495 27.7029938),,turning_circle
POINT (-97.3322285 27.6994258),,turning_circle
POINT (-97.3467086 27.724158),,turning_circle
POINT (-97.382347 27.6520956),,turning_circle
POINT (-97.3828147 27.6525056),,turning_circle
POINT (-97.4120069 27.7689561),,turning_circle
POINT (-97.4317327 27.7088102),,traffic_signals
POINT (-97.4330711 27.7978827),,turning_circle
POINT (-97.5731763 27.84537),,turning_circle
POINT (-97.5768305 27.8470557),,turning_circle
POINT (-97.3884311 27.741495),,turning_circle
POINT (-97.5943643 27.8372568),,turning_circle
POINT (-97.6535772 27.8624083),,turning_circle
POINT (-97.2924938 27.6438686),,turning_circle
POINT (-97.4051507 27.7327571),,turning_circle
POINT (-97.6254784 27.8519078),,turning_circle
POINT (-97.3085499 27.6564869),,traffic_signals
POINT (-97.397467 27.7538116),,traffic_signals
POINT (-97.4013736 27.7474258),,traffic_signals
POINT (-97.4038253 27.7434338),,traffic_signals
POINT (-97.4040102 27.7431186),,traffic_signals
POINT (-97.4052336 27.7410782),,traffic_signals
POINT (-97.4069854 27.7382451),,traffic_signals
POINT (-97.4108602 27.7318756),,traffic_signals
POINT (-97.4159242 27.7238528),,traffic_signals
POINT (-97.4187998 27.7192234),,traffic_signals
POINT (-97.4268423 27.7064321),,traffic_signals
POINT (-97.3923495 27.6802588),,turning_circle
POINT (-97.3536261 27.6908266),,turning_circle
POINT (-97.35312 27.6905964),,turning_circle
POINT (-97.3503383 27.6651318),,turning_circle
POINT (-97.4145522 27.7224223),,turning_circle
POINT (-97.4066499 27.6753811),,turning_circle
POINT (-97.4110687 27.6791169),,turning_circle
POINT (-97.3044134 27.6538786),,turning_circle
POINT (-97.3569681 27.6941931),,turning_circle
POINT (-97.4109507 27.6859093),,turning_circle
POINT (-97.4168484 27.6616667),,turning_circle
POINT (-97.4165205 27.682042),,turning_circle
POINT (-97.4196867 27.7651012),,traffic_signals
POINT (-97.4201894 27.7642677),,traffic_signals
POINT (-97.4220039 27.7538554),,traffic_signals
POINT (-97.6520108 27.866188),,turning_circle
POINT (-97.3777185 27.749199),,turning_circle
POINT (-97.4371493 27.7497473),,traffic_signals
POINT (-97.525903 27.8212675),,turning_circle
POINT (-97.3500473 27.7073323),,turning_circle
POINT (-97.6621227 27.8705889),,turning_circle
POINT (-97.4340533 27.7881316),,turning_circle
POINT (-97.433877 27.7895426),,turning_circle
POINT (-97.4328825 27.7654925),,turning_circle
POINT (-97.3712993 27.7407202),,turning_circle
POINT (-97.3717285 27.7412216),,turning_circle
POINT (-97.6333888 27.8655875),,turning_circle
POINT (-97.5759027 27.8362656),,turning_circle
POINT (-97.2947697 27.6368488),,turning_circle
POINT (-97.4276635 27.7189542),,turning_circle
POINT (-97.2191602 27.600872),,turning_circle
POINT (-97.3775792 27.6703259),,turning_circle
POINT (-97.3766215 27.6719368),,turning_circle
POINT (-97.4135614 27.652139),,traffic_signals
POINT (-97.430579 27.745983),,turning_circle
POINT (-97.3593142 27.7001133),,turning_circle
POINT (-97.3022488 27.6321081),,turning_circle
POINT (-97.5801498 27.8474118),,turning_circle
POINT (-97.3079567 27.6407942),,turning_circle
POINT (-97.4804527 27.801171),,turning_circle
POINT (-97.4823211 27.8011688),,turning_circle
POINT (-97.4068302 27.683927),,turning_circle
POINT (-97.3480035 27.711146),,turning_circle
POINT (-97.2358482 27.6062071),,turning_circle
POINT (-97.3905653 27.6892624),,turning_loop
POINT (-97.4056566 27.6765269),,turning_circle
POINT (-97.4276865 27.7666882),,stop
POINT (-97.4024197 27.7127571),,turning_circle
POINT (-97.4004229 27.7121054),,turning_circle
POINT (-97.4532396 27.7858291),,traffic_signals
